Link	Date	Error_Count
https://www.inklingsnews.com/b/2017/05/08/maker-faire-inspires-young-inventors-to-showcase-their-projects/	2017-05-08	0
https://www.inklingsnews.com/b/2017/05/03/the-beginning-of-the-end-mid-may-marks-the-start-of-senior-internships/	2017-05-03	2
https://www.inklingsnews.com/b/2017/05/01/free-peoples-new-location-opening-success/	2017-05-01	0
https://www.inklingsnews.com/b/2017/05/01/team-brents-hosts-annual-event/	2017-05-01	0
https://www.inklingsnews.com/b/2017/04/18/a-little-more-joy-in-westport-joy-x-opens-fitness-studio/	2017-04-18	7
https://www.inklingsnews.com/b/2017/04/18/the-westport-signapore-connection/	2017-04-18	0
https://www.inklingsnews.com/b/2017/04/17/fidget-spinners-continue-to-entertain-westport-students/	2017-04-17	2
https://www.inklingsnews.com/b/2017/04/07/debruijn-immerses-herself-in-nature-outside-the-classroom-in-maine/	2017-04-07	0
https://www.inklingsnews.com/b/2017/04/06/nevertheless-she-persisted/	2017-04-06	0
https://www.inklingsnews.com/b/2017/04/04/staples-club-pencils-in-generosity/	2017-04-04	1
https://www.inklingsnews.com/b/2017/04/04/tomi-lahren-catches-a-blaze/	2017-04-04	1
https://www.inklingsnews.com/b/2017/03/31/will-fabian-17-strums-through-senior-year-with-his-mandolin/	2017-03-31	0
https://www.inklingsnews.com/b/2017/03/30/the-new-trend-of-fidget-cubes/	2017-03-30	0
https://www.inklingsnews.com/b/2017/03/30/the-port-strives-to-connect-westport-community-through-food/	2017-03-30	0
https://www.inklingsnews.com/b/2017/03/30/fox-schanzer-discovers-a-passion-for-cooking-through-one-simple-decision/	2017-03-30	1
https://www.inklingsnews.com/b/2017/03/23/wreckers-in-tune-finds-their-rhythm-in-the-community/	2017-03-23	0
https://www.inklingsnews.com/b/2017/03/23/junior-statesman-of-america-helps-staples-fight-apathy/	2017-03-23	1
https://www.inklingsnews.com/b/2017/03/20/high-schoolers-flock-to-their-favorite-summer-jobs/	2017-03-20	2
https://www.inklingsnews.com/b/2017/03/16/reading-the-m-a-p-to-mental-health/	2017-03-16	2
https://www.inklingsnews.com/b/2017/03/15/builders-beyond-borders-immerses-students-in-new-cultures/	2017-03-15	1
https://www.inklingsnews.com/b/2017/03/11/mtv-seeks-out-staples-to-feature-on-promposal/	2017-03-11	0
https://www.inklingsnews.com/b/2017/03/09/a-students-guide-to-staycation/	2017-03-09	3
https://www.inklingsnews.com/b/2017/02/13/shop-with-the-seasons/	2017-02-13	0
https://www.inklingsnews.com/b/2017/02/08/undetected-literacy-lounge-proves-to-be-hidden-gem/	2017-02-08	1
https://www.inklingsnews.com/b/2017/02/06/donald-trumps-inaugural-address-ignites-discussion-amongst-staples-classes/	2017-02-06	5
https://www.inklingsnews.com/b/2017/01/27/public-library-showcases-renowned-advocate-for-students-with-adhd/	2017-01-27	0
https://www.inklingsnews.com/b/2017/01/20/celebrating-the-legend-dr-martin-luther-king/	2017-01-20	2
https://www.inklingsnews.com/b/2017/01/20/ginzberg-rocks-out-with-pound/	2017-01-20	0
https://www.inklingsnews.com/b/2017/01/19/the-staples-community-welcomes-new-nurse-kristen-mcgrath/	2017-01-19	0
https://www.inklingsnews.com/b/2017/01/12/snow-draws-locals-to-beloved-winter-locations/	2017-01-12	3
https://www.inklingsnews.com/b/2017/01/12/2016-a-recap/	2017-01-12	0
https://www.inklingsnews.com/b/2017/01/05/nbcs-most-ambitious-musical-yet-hairspray-live-debuts/	2017-01-05	2
https://www.inklingsnews.com/b/2017/01/05/holiday-cookies/	2017-01-05	0
https://www.inklingsnews.com/b/2017/01/05/staples-english-teacher-mrs-neary-and-her-students-thought-of-a-way-to-give-back-during-this-holiday-season/	2017-01-05	0
https://www.inklingsnews.com/b/2016/12/23/midterm-mania-floods-library/	2016-12-23	0
https://www.inklingsnews.com/b/2016/12/19/staples-students-acquire-the-benefits-of-the-early-college-application-process/	2016-12-19	1
https://www.inklingsnews.com/b/2016/12/15/staples-juniors-step-up-this-year-in-the-nutcracker/	2016-12-15	3
https://www.inklingsnews.com/b/2016/12/13/celebrating-unconventional-holiday-traditions/	2016-12-13	1
https://www.inklingsnews.com/b/2016/12/02/how-to-celebrate-thanksgiving-without-the-turkey/	2016-12-02	1
https://www.inklingsnews.com/b/2016/12/01/politics-spur-division-within-the-families-of-staples-students/	2016-12-01	1
https://www.inklingsnews.com/b/2016/12/01/donald-trump-successfully-flips-counties-previously-supporting-obama/	2016-12-01	1
https://www.inklingsnews.com/b/2016/11/29/dodge-a-cop-2016/	2016-11-29	0
https://www.inklingsnews.com/b/2016/11/29/grace-mcginley-awarded-national-title/	2016-11-29	3
https://www.inklingsnews.com/b/2016/11/20/not-all-heroes-wear-capes/	2016-11-20	1
https://www.inklingsnews.com/b/2016/11/17/youtube-star-thrives-within-staples/	2016-11-17	2
https://www.inklingsnews.com/b/2016/11/14/orchestra-stress-days-allow-students-to-better-manage-school/	2016-11-14	0
https://www.inklingsnews.com/b/2016/11/10/english-department-continues-their-costume-tradition/	2016-11-10	1
https://www.inklingsnews.com/b/2016/11/07/electoral-college-system-breeds-controversy-and-questions/	2016-11-07	0
https://www.inklingsnews.com/b/2016/11/03/local-author-cathryn-prince-crafts-historys-current-connections/	2016-11-03	1
https://www.inklingsnews.com/b/2016/11/03/trends-at-staples/	2016-11-03	0
https://www.inklingsnews.com/b/2016/11/02/local-elections/	2016-11-02	0
https://www.inklingsnews.com/b/2016/11/02/college-application-season-generates-stress-sympathy-and-other-side-effects-for-seniors-and-teachers/	2016-11-02	2
https://www.inklingsnews.com/b/2016/11/01/meet-the-candidates/	2016-11-01	0
https://www.inklingsnews.com/b/2016/11/01/marone-brings-military-outlook-to-staples/	2016-11-01	6
https://www.inklingsnews.com/b/2016/11/01/destination-china-journey-to-the-far-east/	2016-11-01	0
https://www.inklingsnews.com/b/2016/11/01/how-the-cosmetic-industry-is-bruising-our-face-the-downside-of-looking-pretty-olivia-foster/	2016-11-01	1
https://www.inklingsnews.com/b/2016/11/01/apples-to-pumpkins-silvermans-farm-thrives-in-the-fall-season/	2016-11-01	0
https://www.inklingsnews.com/b/2016/10/30/music-program-participation-dwindles/	2016-10-30	0
https://www.inklingsnews.com/b/2016/10/27/new-nerds-on-demand-tutoring-company-flourishes/	2016-10-27	0
https://www.inklingsnews.com/b/2016/10/27/als-angels-club-makes-a-difference/	2016-10-27	2
https://www.inklingsnews.com/b/2016/10/20/students-attend-meadows-music-festival/	2016-10-20	0
https://www.inklingsnews.com/b/2016/10/19/celebrity-robbed-of-reputation/	2016-10-19	2
https://www.inklingsnews.com/b/2016/10/19/cultural-appropriation-reaches-from-the-lunchroom-to-london/	2016-10-19	1
https://www.inklingsnews.com/b/2016/10/18/students-offer-to-help-others-at-the-caroline-house/	2016-10-18	2
https://www.inklingsnews.com/b/2016/10/18/is-it-worth-the-hype-silvermans-farm/	2016-10-18	0
https://www.inklingsnews.com/b/2016/10/17/meet-ed-milton-the-unsung-savior-for-staples-students/	2016-10-17	1
https://www.inklingsnews.com/b/2016/10/13/staples-students-crossing-the-finish-line/	2016-10-13	3
https://www.inklingsnews.com/b/2016/10/11/imi-ratcliffe-rows-her-way-to-berkeley/	2016-10-11	5
https://www.inklingsnews.com/b/2016/10/06/is-it-worth-the-hype-ferris-acres/	2016-10-06	0
https://www.inklingsnews.com/b/2016/10/05/pep-rally-helps-staples-students-celebrate-school-spirit/	2016-10-05	1
https://www.inklingsnews.com/b/2016/09/29/staples-shows-its-spirit/	2016-09-29	2
https://www.inklingsnews.com/b/2016/09/28/a-new-season-calls-for-new-hair/	2016-09-28	2
https://www.inklingsnews.com/b/2016/09/28/staples-students-flaunt-spirit-during-spirit-week/	2016-09-28	0
https://www.inklingsnews.com/b/2016/09/28/principles-over-partisanship-beacon-of-hope-shines-in-pivotal-election-a-gary-johnson-rally-in-photos/	2016-09-28	1
https://www.inklingsnews.com/b/2016/09/28/selfless-students-volunteer-with-tutors-for-opportunity/	2016-09-28	1
https://www.inklingsnews.com/b/2016/09/26/motorcade-2016-video-recap/	2016-09-26	0
https://www.inklingsnews.com/b/2016/09/22/westports-bagel-bistros-keep-customers-coming-back/	2016-09-22	2
https://www.inklingsnews.com/b/2016/09/17/slice-of-saugatuck-entertains-westporters/	2016-09-17	0
https://www.inklingsnews.com/b/2016/09/14/911-memorial-continues-to-preserve-the-memory-of-loved-ones-lost/	2016-09-14	1
https://www.inklingsnews.com/b/2016/06/14/transportation-for-those-with-injury-or-disability-causes-struggle/	2016-06-14	1
https://www.inklingsnews.com/b/2016/06/13/beaches-of-westport/	2016-06-13	0
https://www.inklingsnews.com/b/2016/06/13/staples-students-compete-in-b-fest/	2016-06-13	2
https://www.inklingsnews.com/b/2016/06/12/new-security-guard/	2016-06-12	0
https://www.inklingsnews.com/b/2016/06/12/brynly-marsh-makes-a-difference-on-internships/	2016-06-12	1
https://www.inklingsnews.com/b/2016/06/12/mac-millers-performance-at-governors-ball-stands-out-to-staples-attendees/	2016-06-12	1
https://www.inklingsnews.com/b/2016/06/12/sun-reflexology-provides-stress-relief-for-staples-students/	2016-06-12	1
https://www.inklingsnews.com/b/2016/06/11/tippys-therapy-dogs-make-impact/	2016-06-11	1
https://www.inklingsnews.com/b/2016/06/10/bonn-and-edelman-rise-in-the-ranks-as-co-presidents-of-student-assembly/	2016-06-10	0
https://www.inklingsnews.com/b/2016/06/09/birthright-booms-for-staples-grads/	2016-06-09	1
https://www.inklingsnews.com/b/2016/06/09/schools-out-for-summer-even-for-teachers/	2016-06-09	3
https://www.inklingsnews.com/b/2016/06/08/the-great-duck-race/	2016-06-08	0
https://www.inklingsnews.com/b/2016/06/07/forgette-rocks-out-to-the-beat-of-his-band/	2016-06-07	6
https://www.inklingsnews.com/b/2016/06/07/seven-essential-pieces-of-knowledge-to-survive-ap-assassination/	2016-06-07	2
https://www.inklingsnews.com/b/2016/06/07/rain-causes-annual-memorial-day-parade-to-be-inside/	2016-06-07	3
https://www.inklingsnews.com/b/2016/06/06/words-to-live-by/	2016-06-06	6
https://www.inklingsnews.com/b/2016/06/06/embarrassment-hinders-concept-of-free-condom-policy/	2016-06-06	5
https://www.inklingsnews.com/b/2016/06/02/rho-kappa-serves-as-platform-for-social-studies-success/	2016-06-02	3
